gpu_mem_total_mb,gpu_mem_used_mb,gpu_temp_c,gpu_utilisation_pct,timestamp
16376,11845,51,33,1777937216.0303915
16376,11845,58,89,1777937221.0906565
16376,11845,62,75,1777937226.1327124
16376,11845,60,0,1777937231.1779397
16376,11845,62,95,1777937236.2213905
16376,11845,65,94,1777937241.2622364
16376,11845,66,94,1777937246.3238304
16376,11845,64,95,1777937251.3895519
16376,11845,67,93,1777937256.4416382
16376,11845,68,96,1777937261.5293138
16376,11845,69,95,1777937266.569607
16376,11845,69,96,1777937271.62761
16376,11845,70,96,1777937276.679187
16376,11845,67,0,1777937281.7228138
16376,11845,72,30,1777937286.7699988
16376,11845,72,38,1777937291.8288906
16376,11845,72,94,1777937296.9083312
16376,11845,71,93,1777937301.9582102
16376,11845,73,73,1777937307.0273626
16376,11845,74,94,1777937312.1088903
16376,11845,74,0,1777937317.1565201
16376,11845,72,0,1777937322.261514
16376,11845,76,92,1777937327.326413
16376,11845,75,91,1777937332.39368
16376,11845,75,89,1777937337.4553652
16376,11845,76,93,1777937342.5152588
16376,11845,76,94,1777937347.5865283
16376,11845,73,0,1777937352.6393325
16376,11845,77,84,1777937357.6988537
16376,11845,74,0,1777937362.759278
16376,11845,73,88,1777937367.8276143
16376,11845,75,0,1777937372.898279
16376,11845,73,46,1777937377.9650872
16376,11845,73,92,1777937383.0289526
16376,11845,72,93,1777937388.1476243
16376,11845,73,91,1777937393.209793
16376,11845,74,5,1777937398.2878006
16376,11845,76,91,1777937403.3557208
16376,11845,72,0,1777937408.4252508
16376,11845,73,80,1777937413.4867806
16376,11845,76,83,1777937418.5444183
16376,11845,76,26,1777937423.609746
16376,11845,73,0,1777937428.6797538
16376,11845,76,91,1777937433.7406564
16376,11845,76,0,1777937438.8106606
16376,11845,77,0,1777937443.8721592
16376,11845,71,85,1777937448.9382405
16376,11845,76,71,1777937453.9987743
16376,11845,76,0,1777937459.0587044
16376,11845,76,0,1777937464.1229932
16376,11845,73,75,1777937469.185415
16376,11845,73,80,1777937474.2464056
16376,11845,76,21,1777937479.3186922
16376,11845,72,0,1777937484.3913686
16376,11845,74,76,1777937489.4753144
16376,11845,75,94,1777937494.5332034
16376,11845,73,0,1777937499.6025424
16376,11845,74,21,1777937504.6687713
16376,11845,73,0,1777937509.7327478
16376,11845,78,95,1777937514.8023028
16376,11845,74,93,1777937519.8585937
16376,11845,79,96,1777937524.9204378
16376,11845,74,96,1777937529.9823053
16376,11845,77,96,1777937535.0485346
16376,11845,78,57,1777937540.0905235
16376,11845,75,96,1777937545.1562278
16376,11845,75,79,1777937550.2234375
16376,11845,75,96,1777937555.310332
16376,11845,78,96,1777937560.3739574
16376,11845,78,95,1777937565.4462242
16376,11845,76,0,1777937570.508308
16376,11845,75,0,1777937575.5773938
16376,11845,79,94,1777937580.6456795
16376,11845,78,96,1777937585.7082062
16376,11845,75,0,1777937590.7745838
16376,11845,78,0,1777937595.8436284
16376,11845,79,95,1777937600.9099975
16376,11845,78,95,1777937605.9695022
16376,11845,78,96,1777937611.032433
16376,11845,78,92,1777937616.099757
16376,11845,78,95,1777937621.1600041
16376,11845,78,95,1777937626.2302148
16376,11845,74,0,1777937631.2934043
16376,11845,78,95,1777937636.3583767
16376,11845,77,95,1777937641.4232821
16376,11845,78,96,1777937646.4874375
16376,11845,78,26,1777937651.5447507
16376,11845,75,0,1777937656.6030877
16376,11845,79,96,1777937661.6640928
16376,11845,79,95,1777937666.755227
16376,11845,79,0,1777937671.8241541
16376,11845,74,96,1777937676.8973804
16376,11845,78,0,1777937681.9649067
16376,11845,79,12,1777937687.0292869
16376,11845,78,94,1777937692.0944626
16376,11845,77,95,1777937697.1508474
16376,11845,77,0,1777937702.2131417
16376,11845,78,86,1777937707.27186
16376,11845,75,50,1777937712.4191506
16376,11845,78,69,1777937717.66573
16376,11845,71,0,1777937722.766968
16376,11845,73,93,1777937727.8789372
16376,11845,78,0,1777937732.9647112
16376,11845,76,94,1777937738.0227218
16376,11845,74,88,1777937743.0984428
16376,11845,77,87,1777937748.1818013
16376,11845,74,87,1777937753.255056
16376,11845,77,88,1777937758.338462
16376,11845,73,0,1777937763.481594
